Dataset_1;;
Model_Name;err;acc
model_0;0.006899376;99.94%
model_1;2.02E-07;100.00%
model_2;3.05E-06;100.00%
model_3;2.486852487;8.33%
model_4;0.000850797;99.94%
model_5;0.007256867;99.94%
model_7;14.77492052;8.33%
model_6;0.008956658;99.94%
model_8;2.486853123;8.33%
model_9;14.77492004;8.33%
Dataset_2;;
Model_Name;err;acc
model_0;0.073737049;98.92%
model_1;0.048429638;98.67%
model_2;0.015238586;99.58%
model_3;2.486852467;8.33%
model_4;0.108485054;96.37%
model_5;0.103613139;97.58%
model_7;14.7749203;8.33%
model_6;0.127158259;97.33%
model_8;2.486853103;8.33%
model_9;14.77491999;8.33%
Dataset_3;;
Model_Name;err;acc
model_0;10.57299391;21.67%
model_1;10.01738906;22.17%
model_2;7.730356892;22.00%
model_3;2.486852447;8.33%
model_4;10.927157;20.42%
model_5;10.62857962;22.00%
model_7;14.77491999;8.33%
model_6;11.30986293;19.50%
model_8;2.486853103;8.33%
model_9;14.77492118;8.33%
;;
Model_Name;weight_size;model_size
model_0;10,715;4
model_1;10,715;4
model_2;10,715;4
model_3;7,121;4
model_4;7,138;5
model_5;10,974;5
model_7;10,714;4
model_6;7,150;4
model_8;2,712;4
model_9;21,383;4
